Issue name,Severity,Path,Domain,Project,Branch,Status,Deep link,Related to
" Operands don't affect result"," medium"," work/2022-09-27T20.58.28Z-polaris-9210-venus-60/kodiak/build-polaris-9210/tmp/work/cortexa9t2hf-neon-mx6qdl-poky-linux-gnueabi/lib-apple-carplay/1.0-r0/git/AccessorySDK/Support/CFLiteBinaryPlist.c"," Static Analysis (SAST)"," lib-apple-carplay"," master"," Open"," https://polaris-industries.polaris.synopsys.com/projects/6bd435ec-11fc-42e7-8da1-3bab9c152665/branches/43734a7a-550f-4562-acc3-b75bf543f722/revisions/5e08f9ca-297d-4c30-8502-b4eff79d33c3/issues/006b0635465e8baf61b90a4954bf7e9dfe59299ca04aae355bb22622301787d2"," No Related Standards"
" Dereference null return value"," medium"," work/2022-09-27T20.58.28Z-polaris-9210-venus-60/kodiak/build-polaris-9210/tmp/work/cortexa9t2hf-neon-mx6qdl-poky-linux-gnueabi/lib-apple-carplay/1.0-r0/git/AccessorySDK/External/SRP/srp6_server.c"," Static Analysis (SAST)"," lib-apple-carplay"," master"," Open"," https://polaris-industries.polaris.synopsys.com/projects/6bd435ec-11fc-42e7-8da1-3bab9c152665/branches/43734a7a-550f-4562-acc3-b75bf543f722/revisions/5e08f9ca-297d-4c30-8502-b4eff79d33c3/issues/01da41b781e96b2150bc323fde37d9b77eafa3324b45401df30702a5d3c95a3c"," PCI DSS 2018, 2021 CWE Top 25"
" Explicit null dereferenced"," medium"," work/2022-09-27T20.58.28Z-polaris-9210-venus-60/kodiak/build-polaris-9210/tmp/work/cortexa9t2hf-neon-mx6qdl-poky-linux-gnueabi/lib-apple-carplay/1.0-r0/git/AccessorySDK/Support/HTTPServer.c"," Static Analysis (SAST)"," lib-apple-carplay"," master"," Open"," https://polaris-industries.polaris.synopsys.com/projects/6bd435ec-11fc-42e7-8da1-3bab9c152665/branches/43734a7a-550f-4562-acc3-b75bf543f722/revisions/5e08f9ca-297d-4c30-8502-b4eff79d33c3/issues/0276da2686c16eebdb793516acff2b3641a587f1746301ed64852b86d636533d"," PCI DSS 2018, 2021 CWE Top 25"
" Explicit null dereferenced"," medium"," work/2022-09-27T20.58.28Z-polaris-9210-venus-60/kodiak/build-polaris-9210/tmp/work/cortexa9t2hf-neon-mx6qdl-poky-linux-gnueabi/lib-apple-carplay/1.0-r0/git/src/carplay-debuglogger.cpp"," Static Analysis (SAST)"," lib-apple-carplay"," master"," Open"," https://polaris-industries.polaris.synopsys.com/projects/6bd435ec-11fc-42e7-8da1-3bab9c152665/branches/43734a7a-550f-4562-acc3-b75bf543f722/revisions/5e08f9ca-297d-4c30-8502-b4eff79d33c3/issues/0364235a82d9820d00245381a7068b4ae632241c24559f0e64112a322f89e00a"," PCI DSS 2018, 2021 CWE Top 25"
" Use of 32-bit time_t"," high"," work/2022-09-27T20.58.28Z-polaris-9210-venus-60/kodiak/build-polaris-9210/tmp/work/cortexa9t2hf-neon-mx6qdl-poky-linux-gnueabi/lib-apple-carplay/1.0-r0/git/AccessorySDK/Support/NetUtils.c"," Static Analysis (SAST)"," lib-apple-carplay"," master"," Open"," https://polaris-industries.polaris.synopsys.com/projects/6bd435ec-11fc-42e7-8da1-3bab9c152665/branches/43734a7a-550f-4562-acc3-b75bf543f722/revisions/91db083c-df65-473e-b89c-ad7bf9d5e4e6/issues/08eb52154bed0a87e7a24ee540a188aa0f74b1b86fdb2acb2ab966f63d93fc19"," 2020 CWE On the Cusp"
" Resource leak"," high"," work/2022-09-27T20.58.28Z-polaris-9210-venus-60/kodiak/build-polaris-9210/tmp/work/cortexa9t2hf-neon-mx6qdl-poky-linux-gnueabi/lib-apple-carplay/1.0-r0/git/AccessorySDK/Support/CFLite.c"," Static Analysis (SAST)"," lib-apple-carplay"," master"," Open"," https://polaris-industries.polaris.synopsys.com/projects/6bd435ec-11fc-42e7-8da1-3bab9c152665/branches/43734a7a-550f-4562-acc3-b75bf543f722/revisions/5e08f9ca-297d-4c30-8502-b4eff79d33c3/issues/0a7698dbef9f4f4a601b2d2522510dc1e892a1b34825c577bf8551417c66ce96"," No Related Standards"
" Parse recovery warning"," low"," work/2022-09-27T20.58.28Z-polaris-9210-venus-60/kodiak/build-polaris-9210/tmp/work/cortexa9t2hf-neon-mx6qdl-poky-linux-gnueabi/lib-apple-carplay/1.0-r0/recipe-sysroot-native/usr/lib/arm-poky-linux-gnueabi/gcc/arm-poky-linux-gnueabi/10.3.0/include/arm_neon.h"," Static Analysis (SAST)"," lib-apple-carplay"," master"," Open"," https://polaris-industries.polaris.synopsys.com/projects/6bd435ec-11fc-42e7-8da1-3bab9c152665/branches/43734a7a-550f-4562-acc3-b75bf543f722/revisions/72dee757-7a73-41e9-abc7-a695d3a89f7a/issues/0c7df715c974c348e16de2e48a6e13bdcd6e5c042df7870ed4c2cdc5bf62fe40"," No Related Standards"
" Branch past initialization"," medium"," work/2022-09-27T20.58.28Z-polaris-9210-venus-60/kodiak/build-polaris-9210/tmp/work/cortexa9t2hf-neon-mx6qdl-poky-linux-gnueabi/lib-apple-carplay/1.0-r0/git/Sources/CarPlayControlClient.c"," Static Analysis (SAST)"," lib-apple-carplay"," master"," Open"," https://polaris-industries.polaris.synopsys.com/projects/6bd435ec-11fc-42e7-8da1-3bab9c152665/branches/43734a7a-550f-4562-acc3-b75bf543f722/revisions/5e08f9ca-297d-4c30-8502-b4eff79d33c3/issues/0cb467d18d8cad81aa3e133f24f8f2625edff2e09f8448404a0c146e8c90ccd2"," No Related Standards"
" Unchecked return value from library"," medium"," work/2022-09-27T20.58.28Z-polaris-9210-venus-60/kodiak/build-polaris-9210/tmp/work/cortexa9t2hf-neon-mx6qdl-poky-linux-gnueabi/lib-apple-carplay/1.0-r0/git/AccessorySDK/Support/AsyncConnection.c"," Static Analysis (SAST)"," lib-apple-carplay"," master"," Open"," https://polaris-industries.polaris.synopsys.com/projects/6bd435ec-11fc-42e7-8da1-3bab9c152665/branches/43734a7a-550f-4562-acc3-b75bf543f722/revisions/5e08f9ca-297d-4c30-8502-b4eff79d33c3/issues/0d652b325bc5b586c0505ec040356431f3eec36f989a4a24e81b9deae604abca"," 2021 OWASP Top 10, PCI DSS 2018"
" Dereference null return value"," medium"," work/2022-09-27T20.58.28Z-polaris-9210-venus-60/kodiak/build-polaris-9210/tmp/work/cortexa9t2hf-neon-mx6qdl-poky-linux-gnueabi/lib-apple-carplay/1.0-r0/git/AccessorySDK/Support/HTTPServer.c"," Static Analysis (SAST)"," lib-apple-carplay"," master"," Open"," https://polaris-industries.polaris.synopsys.com/projects/6bd435ec-11fc-42e7-8da1-3bab9c152665/branches/43734a7a-550f-4562-acc3-b75bf543f722/revisions/5e08f9ca-297d-4c30-8502-b4eff79d33c3/issues/0e59d07e4a930505e9152b64814e941c64c44800b0cdd661d32fc04f60a2c348"," PCI DSS 2018, 2021 CWE Top 25"
